date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:07	7336568/7336568	---M--	200	added ('OK')	font/woff	etag:W/%226ff278-17955ba8193%22	https://zepeto.me/font/NotoSansSC-Regular.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Regular.woff	(from https://zepeto.me/css/zepetome.css)
22:07:07	3804/3804	---M--	200	added ('OK')	font/ttf	etag:W/%22edc-17955b4f219%22	https://zepeto.me/font/notosanssc_regular.ttf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_regular.ttf	(from https://zepeto.me/css/zepetome.css)
22:07:07	27674/27674	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226c1a-17955b4f218%22	https://zepeto.me/font/notosanssc_medium.eot	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_medium.eot	(from https://zepeto.me/css/zepetome.css)
22:07:08	27674/27674	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226c1a-17955b7d1aa%22	https://zepeto.me/font/notosanssc_medium.eot?	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_mediumd41d.eot	(from https://zepeto.me/css/zepetome.css)
22:07:08	6457468/6457468	---M--	200	added ('OK')	font/woff2	etag:W/%2262887c-17955b7cfa8%22	https://zepeto.me/font/NotoSansSC-Medium.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Medium.woff2	(from https://zepeto.me/css/zepetome.css)
22:07:08	8508520/8508520	---MCZ	200	added ('OK')	font/otf	etag:W/%2281d468-17955b4ee6f%22	https://zepeto.me/font/NotoSansSC-Medium.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Medium.otf	(from https://zepeto.me/css/zepetome.css)
22:07:08	3808/3808	---M--	200	added ('OK')	font/ttf	etag:W/%22ee0-17955b4f218%22	https://zepeto.me/font/notosanssc_medium.ttf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_medium.ttf	(from https://zepeto.me/css/zepetome.css)
22:07:09	7432828/7432828	---M--	200	added ('OK')	font/woff	etag:W/%22716a7c-17955b7cebd%22	https://zepeto.me/font/NotoSansSC-Medium.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Medium.woff	(from https://zepeto.me/css/zepetome.css)
22:07:09	28322/28322	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226ea2-17955b7d1a8%22	https://zepeto.me/font/notosanssc_bold.eot	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_bold.eot	(from https://zepeto.me/css/zepetome.css)
22:07:09	28322/28322	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226ea2-17955b7d1a8%22	https://zepeto.me/font/notosanssc_bold.eot?	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_boldd41d.eot	(from https://zepeto.me/css/zepetome.css)
